Transaction_ID,User_ID,Crypto,Transaction_Type,Amount,Price_Per_Unit,Total_Value,Transaction_Fee,Platform,Status,Wallet_Type,Transaction_Date
132253,81629,Bitcoin,Stake,97.341219,10148.98,987914.08,27576.4,FTX,Completed,Cold Wallet,2024-06-02 09:51:58.222424
321629,36067,Bitcoin,Sell,38.309888,43364.33,1661282.63,44312.25,Coinbase,Completed,Cold Wallet,2023-12-25 09:51:58.222424
206002,99503,BNB,Sell,90.503072,58345.52,5280448.8,77057.04,OKX,Failed,Ledger,2023-12-14 09:51:58.222424
242219,13666,Bitcoin,Withdraw,26.745946,19997.74,534858.47,10342.29,Coinbase,Completed,Hot Wallet,2024-02-16 09:51:58.222424
320659,52410,XRP,Buy,50.104762,28972.93,1451681.76,33692.96,Coinbase,Pending,Cold Wallet,2024-10-27 09:51:58.222424
514561,62712,Avalanche,Buy,23.539166,36627.29,862175.86,22939.29,Kraken,Failed,Cold Wallet,2024-09-18 09:51:58.222424
364140,28016,Polkadot,Stake,23.449896,6642.04,155755.15,2255.66,Binance,Failed,Cold Wallet,2024-11-27 09:51:58.222424
210494,17775,Solana,Transfer,21.119959,37929.47,801068.85,2172.11,Coinbase,Failed,Hot Wallet,2023-07-16 09:51:58.222424
490442,71497,Cardano,Sell,3.01352,2087.11,6289.55,112.12,OKX,Completed,Cold Wallet,2025-02-14 09:51:58.222424
875589,19682,XRP,Buy,30.634135,7522.37,230441.3,9911.88,Huobi,Pending,Hot Wallet,2024-07-16 09:51:58.222424
705106,79528,BNB,Buy,39.392627,48905.37,1926511.0,93705.37,Coinbase,Pending,Trezor,2024-01-16 09:51:58.222424
112302,52935,Dogecoin,Transfer,81.181784,58201.21,4724878.06,169030.22,KuCoin,Pending,Hot Wallet,2023-08-07 09:51:58.222424
449786,59900,Solana,Stake,50.353315,4690.59,236186.76,4686.91,Coinbase,Completed,Hot Wallet,2024-10-02 09:51:58.222424
137005,93197,Ethereum,Stake,60.211506,50554.46,3043960.17,30241.32,Binance,Completed,Exchange Wallet,2025-02-10 09:51:58.222424
403309,60024,Polkadot,Withdraw,27.88235,43117.03,1202204.12,31951.59,Binance,Failed,Cold Wallet,2024-07-15 09:51:58.222424
164564,62214,Bitcoin,Withdraw,0.462872,15845.22,7334.31,85.97,Kraken,Failed,Hot Wallet,2023-05-10 09:51:58.222424
183990,75238,XRP,Withdraw,95.539686,56784.07,5425132.22,72957.43,Huobi,Failed,Exchange Wallet,2025-02-24 09:51:58.222424
942885,47372,Avalanche,Buy,74.980268,55235.63,4141582.34,149481.0,Binance,Pending,Cold Wallet,2023-10-24 09:51:58.222424
329842,98767,Polkadot,Withdraw,86.809592,36688.51,3184914.58,83147.56,Kraken,Completed,Exchange Wallet,2024-06-24 09:51:58.222424
270062,57292,Solana,Buy,72.323055,57718.69,4174391.99,67060.35,OKX,Completed,Ledger,2023-11-17 09:51:58.222424
557218,66840,BNB,Stake,89.217424,53403.15,4764491.48,98916.97,Binance,Completed,Hot Wallet,2024-06-19 09:51:58.222424
254542,48903,Cardano,Transfer,60.19884,30783.49,1853130.39,68688.49,Binance,Failed,Trezor,2023-05-26 09:51:58.222424
323302,88514,Litecoin,Sell,10.80848,14993.8,162060.19,4601.36,OKX,Pending,Ledger,2024-04-16 09:51:58.222424
243680,79742,Cardano,Sell,56.114836,2228.02,125024.98,4885.6,Binance,Failed,Exchange Wallet,2024-04-30 09:51:58.222424
171399,59522,BNB,Buy,21.604076,43518.39,940174.6,31283.54,Huobi,Failed,Exchange Wallet,2023-12-07 09:51:58.222424
910256,63853,Avalanche,Stake,2.187102,25389.3,55528.99,1007.95,Kraken,Failed,Trezor,2024-08-28 09:51:58.222424
188685,99408,Litecoin,Withdraw,53.939432,48490.45,2615547.33,17129.8,KuCoin,Completed,Trezor,2025-02-16 09:51:58.222424
306884,99486,Solana,Buy,9.062473,40913.16,370774.41,1997.54,FTX,Failed,Exchange Wallet,2023-08-05 09:51:58.222424
945529,37746,Cardano,Sell,39.419778,40593.36,1600181.24,54489.48,Kraken,Failed,Exchange Wallet,2024-05-02 09:51:58.222424
444989,77648,Avalanche,Withdraw,7.590085,944.59,7169.52,199.28,OKX,Pending,Hot Wallet,2024-04-10 09:51:58.222424
957578,22032,Litecoin,Buy,42.154059,37116.38,1564606.07,14831.55,Binance,Pending,Hot Wallet,2024-07-28 09:51:58.222424
792856,68365,Ethereum,Buy,30.332943,43614.97,1322970.4,4206.48,FTX,Completed,Hot Wallet,2023-11-25 09:51:58.222424
117782,47181,Ethereum,Stake,63.234779,23203.01,1467237.21,11712.28,Binance,Failed,Cold Wallet,2023-11-22 09:51:58.222424
388041,16524,BNB,Sell,9.327797,22220.65,207269.71,8203.07,OKX,Completed,Hot Wallet,2024-03-03 09:51:58.222424
602497,23808,Ethereum,Transfer,8.820407,22982.24,202712.71,9413.53,Binance,Completed,Cold Wallet,2023-08-27 09:51:58.222424
815348,92799,Bitcoin,Sell,76.624245,17100.03,1310276.89,2701.87,Binance,Completed,Hot Wallet,2025-01-13 09:51:58.222424
544169,25165,Solana,Sell,45.234881,47227.57,2136333.51,31069.18,OKX,Completed,Cold Wallet,2024-05-17 09:51:58.222424
270180,53315,BNB,Sell,31.98579,12908.25,412880.57,9305.99,Binance,Pending,Exchange Wallet,2023-10-06 09:51:58.222424
522185,32799,Polkadot,Sell,93.28016,47626.67,4442623.4,17580.99,FTX,Completed,Trezor,2024-06-30 09:51:58.222424
680042,26611,Ethereum,Sell,66.80728,29384.34,1963087.83,27543.9,Kraken,Failed,Ledger,2024-12-15 09:51:58.222424
287855,48678,Ethereum,Stake,81.976905,46252.8,3791661.39,17597.74,Binance,Pending,Trezor,2024-05-14 09:51:58.222424
676676,32712,Litecoin,Buy,4.247567,4651.96,19759.51,55.58,KuCoin,Completed,Ledger,2024-12-21 09:51:58.222424
939671,61108,Ethereum,Stake,81.356277,678.09,55166.88,175.01,KuCoin,Completed,Ledger,2023-03-19 09:51:58.222424
492084,68103,Cardano,Sell,38.646754,17088.54,660416.6,14998.06,KuCoin,Pending,Ledger,2024-03-19 09:51:58.222424
834156,95322,Avalanche,Withdraw,21.512255,49927.02,1074042.79,45256.16,KuCoin,Completed,Ledger,2024-11-22 09:51:58.222424
183281,38272,XRP,Withdraw,3.328635,37530.2,124924.34,5377.85,Coinbase,Pending,Ledger,2023-05-28 09:51:58.222424
154318,77678,XRP,Transfer,13.449167,58867.17,791714.4,37301.83,FTX,Pending,Trezor,2023-05-21 09:51:58.222424
595480,16853,XRP,Buy,41.723959,16512.18,688953.52,8683.78,KuCoin,Failed,Cold Wallet,2024-06-27 09:51:58.222424
450242,66181,XRP,Stake,47.525853,54696.29,2599487.84,72518.23,Coinbase,Pending,Trezor,2023-10-30 09:51:58.222424
829404,67546,BNB,Stake,83.049133,11560.28,960071.23,21787.82,Binance,Pending,Trezor,2023-08-02 09:51:58.222424
187524,81711,Bitcoin,Transfer,28.772477,23909.09,687923.74,9795.05,Kraken,Pending,Exchange Wallet,2023-11-27 09:51:58.222424
716475,96413,Ethereum,Transfer,53.241828,1690.91,90027.14,338.27,Huobi,Failed,Ledger,2024-10-14 09:51:58.222424
471468,13283,Ethereum,Transfer,11.638889,42874.98,499017.13,16725.83,Kraken,Failed,Hot Wallet,2025-01-19 09:51:58.222424
352545,86133,XRP,Buy,14.942194,36528.97,545822.96,16610.6,FTX,Failed,Exchange Wallet,2025-02-17 09:51:58.222424
305753,98506,Litecoin,Sell,23.866588,41315.33,986055.96,21456.9,KuCoin,Pending,Hot Wallet,2024-01-12 09:51:58.222424
554207,61163,Avalanche,Withdraw,54.092789,22882.48,1237777.16,9177.47,Coinbase,Pending,Cold Wallet,2024-08-14 09:51:58.222424
732167,57626,Litecoin,Buy,82.157647,21659.34,1779480.41,40486.41,Kraken,Completed,Hot Wallet,2023-08-22 09:51:58.222424
927274,83291,Dogecoin,Stake,42.56345,3999.49,170232.09,5715.82,OKX,Failed,Trezor,2023-05-21 09:51:58.222424
136933,54361,Solana,Sell,25.325974,36747.91,930676.61,38523.8,Huobi,Pending,Cold Wallet,2023-12-01 09:51:58.222424
533674,91013,Ethereum,Stake,9.011088,1206.69,10873.59,115.86,KuCoin,Pending,Exchange Wallet,2024-12-25 09:51:58.222424
403789,96853,Cardano,Withdraw,36.332367,15628.25,567811.31,19509.01,Coinbase,Failed,Cold Wallet,2023-08-20 09:51:58.222424
604620,55564,Avalanche,Stake,73.275864,25384.14,1860044.79,78517.2,Huobi,Completed,Exchange Wallet,2024-11-28 09:51:58.222424
378870,63838,Litecoin,Buy,22.73479,38644.31,878570.27,25914.61,Kraken,Pending,Exchange Wallet,2023-08-09 09:51:58.222424
527417,38980,Polkadot,Withdraw,34.933569,4751.93,166001.87,4106.96,Kraken,Completed,Trezor,2023-05-05 09:51:58.222424
676581,52032,Cardano,Stake,41.94845,11444.85,480093.72,8651.54,KuCoin,Completed,Exchange Wallet,2024-05-22 09:51:58.222424
867997,31091,BNB,Stake,8.477745,13843.41,117360.9,15.1,Coinbase,Completed,Ledger,2025-02-25 09:51:58.222424
202688,71960,Solana,Withdraw,31.13203,35986.04,1120318.48,12250.43,KuCoin,Failed,Cold Wallet,2024-05-06 09:51:58.222424
929176,67626,XRP,Stake,31.668317,4023.47,127416.52,2755.1,Kraken,Pending,Exchange Wallet,2024-04-17 09:51:58.222424
285567,35180,Bitcoin,Transfer,47.652056,45821.93,2183509.17,17150.53,Coinbase,Completed,Exchange Wallet,2023-05-27 09:51:58.222424
414007,14477,Dogecoin,Stake,11.273772,1506.1,16979.43,280.69,Huobi,Failed,Ledger,2024-09-10 09:51:58.222424
831288,39991,XRP,Transfer,22.094071,43227.32,955067.48,5759.1,OKX,Failed,Hot Wallet,2023-06-07 09:51:58.222424
646025,89512,Avalanche,Withdraw,57.849648,31944.77,1847993.7,41863.13,Huobi,Completed,Exchange Wallet,2024-08-02 09:51:58.222424
520083,15060,Polkadot,Transfer,37.762838,36136.19,1364605.09,54731.07,OKX,Pending,Ledger,2024-11-09 09:51:58.222424
952271,96690,Avalanche,Stake,85.288241,56439.75,4813647.0,155595.22,Coinbase,Pending,Ledger,2024-11-05 09:51:58.222424
906311,44194,Dogecoin,Stake,85.884996,51623.74,4433704.7,17349.42,Huobi,Pending,Ledger,2023-08-26 09:51:58.222424
623709,49630,Cardano,Transfer,78.54083,55372.75,4349021.74,195648.66,OKX,Pending,Exchange Wallet,2024-07-22 09:51:58.222424
688318,23414,Polkadot,Sell,60.259953,28039.84,1689679.44,34880.1,OKX,Failed,Exchange Wallet,2024-07-30 09:51:58.222424
759350,72051,Dogecoin,Withdraw,27.57318,5063.32,139611.83,6117.86,Kraken,Failed,Hot Wallet,2023-12-10 09:51:58.222424
997857,20539,Solana,Stake,3.73166,19323.09,72107.2,1352.77,Coinbase,Failed,Exchange Wallet,2024-01-22 09:51:58.222424
211475,52718,Ethereum,Buy,18.929832,22782.0,431259.43,10075.23,KuCoin,Completed,Trezor,2023-09-23 09:51:58.222424
770152,52099,Cardano,Buy,65.776756,50363.36,3312738.44,57150.97,KuCoin,Pending,Trezor,2023-12-28 09:51:58.222424
432801,48800,Litecoin,Sell,64.121905,13443.14,861999.75,22504.86,Huobi,Pending,Ledger,2024-08-20 09:51:58.222424
164157,11040,Solana,Stake,5.818599,2634.22,15327.47,239.77,FTX,Completed,Cold Wallet,2023-07-25 09:51:58.222424
849401,16952,XRP,Buy,55.481167,7223.95,400793.18,4599.73,OKX,Completed,Hot Wallet,2024-09-11 09:51:58.222424
191487,26988,Litecoin,Sell,64.797626,36138.22,2341670.86,60602.76,KuCoin,Completed,Ledger,2024-04-27 09:51:58.222424
879971,37292,Polkadot,Stake,87.996989,35019.4,3081601.76,32921.49,Huobi,Failed,Trezor,2023-03-21 09:51:58.222424
502571,53827,BNB,Buy,89.739368,57508.4,5160767.47,607.49,FTX,Completed,Trezor,2024-03-01 09:51:58.222424
287938,13253,Cardano,Transfer,86.834361,19458.13,1689634.28,81682.62,FTX,Pending,Trezor,2024-03-25 09:51:58.222424
885446,64783,Polkadot,Withdraw,82.767886,38092.15,3152806.73,63072.15,OKX,Completed,Cold Wallet,2023-10-11 09:51:58.222424
871125,20783,XRP,Sell,15.905824,10843.8,172479.57,2364.21,KuCoin,Failed,Ledger,2023-06-17 09:51:58.222424
208322,71081,Cardano,Withdraw,32.231205,58380.0,1881657.75,34225.57,OKX,Completed,Ledger,2025-01-24 09:51:58.222424
144672,20042,Bitcoin,Stake,24.417261,12457.64,304181.45,7871.12,Coinbase,Failed,Cold Wallet,2024-12-17 09:51:58.222424
959750,31951,Ethereum,Sell,28.098712,48258.54,1356002.82,15861.18,Coinbase,Completed,Ledger,2024-02-18 09:51:58.222424
588411,63321,Litecoin,Sell,75.391706,26419.83,1991836.06,44005.42,KuCoin,Pending,Exchange Wallet,2024-03-30 09:51:58.222424
892541,11219,Cardano,Transfer,39.07556,57311.11,2239463.72,64844.47,KuCoin,Failed,Hot Wallet,2024-04-26 09:51:58.222424
287056,75954,Dogecoin,Buy,94.005551,4762.37,447689.22,3696.86,Huobi,Failed,Cold Wallet,2023-03-29 09:51:58.222424
774193,91249,XRP,Sell,9.240775,51678.52,477549.58,5339.65,Kraken,Pending,Ledger,2024-07-09 09:51:58.222424
317949,54289,Polkadot,Withdraw,0.836615,19846.0,16603.46,121.85,Kraken,Completed,Hot Wallet,2023-10-23 09:51:58.222424
972176,67085,Ethereum,Transfer,65.815578,17399.85,1145181.18,46048.82,Binance,Failed,Cold Wallet,2023-12-12 09:51:58.222424
909540,89100,Ethereum,Sell,49.635962,37624.91,1867548.6,58004.35,Huobi,Pending,Exchange Wallet,2023-11-11 09:51:58.222424
720443,50253,Polkadot,Transfer,88.902281,59641.3,5302247.61,85225.04,Huobi,Completed,Trezor,2023-06-12 09:51:58.222424
503113,49095,Avalanche,Withdraw,37.166748,5469.56,203285.76,7640.03,Coinbase,Completed,Cold Wallet,2024-07-26 09:51:58.222424
884335,69371,Bitcoin,Stake,30.331607,15226.61,461847.55,12721.23,FTX,Pending,Exchange Wallet,2024-11-02 09:51:58.222424
262515,51750,Cardano,Stake,61.545903,10474.68,644673.64,1610.53,KuCoin,Failed,Trezor,2024-03-14 09:51:58.222424
179627,87740,Avalanche,Transfer,45.173086,42093.1,1901475.23,72784.71,Kraken,Failed,Trezor,2023-11-03 09:51:58.222424
589310,61732,Polkadot,Stake,36.477968,6873.4,250727.67,8368.17,Huobi,Completed,Exchange Wallet,2025-02-18 09:51:58.222424
111645,26266,Ethereum,Transfer,7.044516,22206.43,156433.55,5430.64,Huobi,Completed,Trezor,2024-01-08 09:51:58.222424
130748,13160,Bitcoin,Transfer,13.263214,13546.17,179665.75,7740.39,Huobi,Failed,Cold Wallet,2024-01-04 09:51:58.222424
728913,68314,BNB,Buy,59.170867,26107.48,1544802.23,71453.47,KuCoin,Completed,Exchange Wallet,2023-06-19 09:51:58.222424
408428,67223,Litecoin,Sell,53.372467,31461.03,1679152.79,74036.42,OKX,Pending,Trezor,2024-01-20 09:51:58.222424
882252,27260,Cardano,Sell,64.808067,18461.94,1196482.64,11928.9,Huobi,Failed,Ledger,2023-07-20 09:51:58.222424
879664,70781,Avalanche,Sell,8.692017,32626.03,283586.01,975.55,Coinbase,Pending,Exchange Wallet,2025-02-20 09:51:58.222424
887029,99482,XRP,Withdraw,53.469617,20633.71,1103276.57,21886.82,OKX,Completed,Exchange Wallet,2024-09-11 09:51:58.222424
536472,97849,Polkadot,Buy,43.125089,49851.49,2149849.94,88088.12,Binance,Failed,Hot Wallet,2024-06-24 09:51:58.222424
393175,74361,Polkadot,Sell,87.446043,20137.04,1760904.47,28473.51,FTX,Pending,Hot Wallet,2023-10-03 09:51:58.222424
752514,64291,Cardano,Transfer,33.329921,9556.92,318531.39,2594.65,Kraken,Failed,Cold Wallet,2023-08-11 09:51:58.222424
242120,58981,Ethereum,Withdraw,94.079961,53197.06,5004777.33,224945.78,Coinbase,Pending,Hot Wallet,2025-01-06 09:51:58.222424
156402,32797,Bitcoin,Buy,71.19787,10606.18,755137.42,34025.95,Huobi,Pending,Ledger,2025-01-08 09:51:58.222424
851128,13114,Solana,Buy,49.416234,35416.42,1750146.1,27101.54,Huobi,Failed,Trezor,2024-07-03 09:51:58.222424
639532,69202,Solana,Buy,85.388222,40727.63,3477659.91,41394.96,Binance,Completed,Ledger,2024-08-28 09:51:58.222424
612837,11705,XRP,Withdraw,61.567984,47823.92,2944422.34,36902.54,OKX,Completed,Exchange Wallet,2023-12-27 09:51:58.222424
438434,88791,BNB,Withdraw,73.755677,22680.28,1672799.41,76723.66,KuCoin,Pending,Exchange Wallet,2024-01-31 09:51:58.222424
105352,16575,Solana,Buy,29.645338,8443.65,250314.86,6514.47,Huobi,Completed,Exchange Wallet,2023-09-30 09:51:58.222424
820498,65453,BNB,Withdraw,57.032671,16160.38,921669.64,12080.19,Huobi,Pending,Exchange Wallet,2024-11-19 09:51:58.222424
933687,31637,Avalanche,Withdraw,83.833625,7976.34,668685.5,7554.06,Coinbase,Completed,Ledger,2023-05-21 09:51:58.222424
424444,44554,Solana,Buy,46.000584,15088.97,694101.43,30871.51,KuCoin,Completed,Hot Wallet,2024-09-03 09:51:58.222424
827545,70501,Dogecoin,Buy,77.231221,12715.22,982011.97,4735.73,Huobi,Failed,Cold Wallet,2024-09-26 09:51:58.222424
410206,32996,Cardano,Withdraw,83.042633,10.27,852.85,18.18,Kraken,Pending,Trezor,2023-10-29 09:51:58.222424
366366,37228,Bitcoin,Sell,81.452126,16167.31,1316861.77,51088.77,FTX,Failed,Cold Wallet,2024-11-14 09:51:58.222424
628450,60336,Avalanche,Withdraw,11.222633,24029.16,269670.44,3730.79,KuCoin,Completed,Cold Wallet,2023-11-09 09:51:58.222424
852333,77873,XRP,Buy,95.24855,57570.78,5483533.32,214626.51,FTX,Pending,Trezor,2024-11-14 09:51:58.222424
290442,66763,XRP,Withdraw,66.4137,13208.3,877212.07,34490.76,Huobi,Completed,Hot Wallet,2024-03-18 09:51:58.222424
503621,98276,BNB,Sell,53.92678,29926.87,1613859.73,13325.88,Binance,Pending,Trezor,2023-11-02 09:51:58.222424
242208,78090,Litecoin,Buy,90.494146,33353.88,3018330.89,1464.5,Kraken,Pending,Exchange Wallet,2024-03-10 09:51:58.222424
607391,88432,Bitcoin,Stake,72.470118,4177.15,302718.55,13155.53,FTX,Completed,Hot Wallet,2023-12-04 09:51:58.222424
123513,38277,Solana,Buy,7.86514,48342.93,380223.91,14227.99,Coinbase,Pending,Cold Wallet,2024-07-22 09:51:58.222424
723140,30053,Avalanche,Stake,72.136685,17140.05,1236426.39,30567.45,KuCoin,Pending,Hot Wallet,2023-08-10 09:51:58.222424
168518,10399,XRP,Stake,55.034227,59333.85,3265392.57,134646.97,Coinbase,Failed,Hot Wallet,2023-11-28 09:51:58.222424
986311,56287,XRP,Sell,43.692356,4509.96,197050.78,6549.47,KuCoin,Failed,Cold Wallet,2025-01-28 09:51:58.222424
263658,13418,Bitcoin,Buy,70.716551,10220.91,722787.5,16841.8,Kraken,Pending,Exchange Wallet,2024-11-24 09:51:58.222424
117410,81036,Dogecoin,Sell,55.622327,37370.19,2078616.93,38035.11,KuCoin,Completed,Exchange Wallet,2024-01-15 09:51:58.222424
659455,88560,Ethereum,Stake,39.948867,37298.9,1490048.8,6343.51,Binance,Pending,Ledger,2024-02-04 09:51:58.222424
940680,51594,Cardano,Buy,25.302728,38966.42,985956.73,17946.33,KuCoin,Pending,Trezor,2023-04-30 09:51:58.222424
243344,94559,XRP,Sell,70.157594,43976.99,3085319.81,140329.13,Binance,Pending,Trezor,2023-12-02 09:51:58.222424
869633,42208,Cardano,Transfer,36.029234,35856.44,1291880.07,51466.33,Kraken,Completed,Trezor,2024-11-24 09:51:58.222424
513816,30740,XRP,Sell,48.036769,51738.66,2485358.06,34007.52,Coinbase,Completed,Hot Wallet,2023-03-28 09:51:58.222424
906517,86627,Dogecoin,Buy,54.670555,13977.99,764184.47,3250.62,FTX,Pending,Ledger,2024-10-27 09:51:58.222424
948250,90072,Ethereum,Transfer,56.298508,47102.56,2651803.85,70315.85,Coinbase,Completed,Exchange Wallet,2024-01-12 09:51:58.222424
109029,67263,Bitcoin,Sell,76.442554,17111.87,1308075.05,56468.09,Huobi,Failed,Ledger,2023-05-26 09:51:58.222424
282427,40495,XRP,Buy,29.40213,20987.84,617087.2,22059.15,Coinbase,Completed,Hot Wallet,2024-07-25 09:51:58.222424
163581,66403,Avalanche,Withdraw,96.548632,561.74,54235.23,2059.87,OKX,Pending,Exchange Wallet,2024-07-12 09:51:58.222424
240633,43496,Litecoin,Transfer,60.348722,34259.19,2067498.33,99624.57,KuCoin,Pending,Trezor,2024-11-23 09:51:58.222424
862180,73737,Ethereum,Withdraw,75.328842,24153.11,1819425.81,28572.84,OKX,Pending,Trezor,2024-02-04 09:51:58.222424
335403,55410,Solana,Transfer,3.012839,38244.61,115224.85,947.54,OKX,Pending,Trezor,2023-03-17 09:51:58.222424
811187,86123,BNB,Stake,69.905227,40845.55,2855317.44,85129.63,Coinbase,Failed,Ledger,2024-01-14 09:51:58.222424
428694,37602,Litecoin,Buy,39.700507,5384.38,213762.62,8820.85,FTX,Failed,Trezor,2023-12-12 09:51:58.222424
100346,27687,Litecoin,Withdraw,49.879599,45585.75,2273798.93,105426.83,Binance,Failed,Ledger,2024-03-12 09:51:58.222424
878842,90421,Dogecoin,Stake,11.546289,50119.25,578691.34,1550.18,Coinbase,Completed,Exchange Wallet,2023-08-05 09:51:58.222424
888230,72293,Cardano,Withdraw,35.869251,50087.74,1796609.72,68308.11,Kraken,Failed,Exchange Wallet,2024-10-07 09:51:58.222424
259310,33192,Dogecoin,Transfer,73.101541,42402.05,3099655.2,151597.74,Kraken,Completed,Hot Wallet,2024-07-20 09:51:58.222424
457266,82737,Dogecoin,Withdraw,35.127154,11005.2,386581.36,15492.59,KuCoin,Failed,Hot Wallet,2023-07-19 09:51:58.222424
836018,46966,Avalanche,Withdraw,99.240745,28911.51,2869199.79,113460.34,FTX,Pending,Exchange Wallet,2024-05-08 09:51:58.222424
582626,46467,Polkadot,Buy,28.6825,6771.26,194216.66,130.56,Huobi,Pending,Hot Wallet,2023-09-17 09:51:58.222424
564504,42339,Bitcoin,Withdraw,53.690566,52337.77,2810044.49,137676.35,Huobi,Completed,Hot Wallet,2023-06-25 09:51:58.222424
833330,19630,Ethereum,Buy,42.627099,53335.24,2273526.56,66156.45,Coinbase,Failed,Exchange Wallet,2023-06-12 09:51:58.222424
745406,98056,Dogecoin,Withdraw,50.846066,39015.83,1983801.47,17324.53,FTX,Completed,Trezor,2023-11-22 09:51:58.222424
469136,95536,Litecoin,Transfer,59.924708,20526.48,1230043.32,55900.18,OKX,Pending,Hot Wallet,2024-08-11 09:51:58.222424
690750,47679,Ethereum,Buy,88.400054,12716.6,1124148.13,962.86,Binance,Failed,Exchange Wallet,2024-06-17 09:51:58.222424
136941,61787,Polkadot,Buy,25.749727,19859.3,511371.55,2918.32,Kraken,Pending,Ledger,2023-03-23 09:51:58.222424
255979,10856,Cardano,Sell,49.636647,31974.19,1587091.58,74879.54,Kraken,Pending,Hot Wallet,2024-07-28 09:51:58.222424
466600,92476,XRP,Buy,46.003833,15185.38,698585.69,16466.38,Huobi,Failed,Ledger,2024-01-05 09:51:58.222424
973701,52293,BNB,Withdraw,58.224661,3532.04,205651.83,459.1,Binance,Failed,Exchange Wallet,2024-10-25 09:51:58.222424
458581,76317,Ethereum,Transfer,7.406189,27324.52,202370.56,9300.16,Binance,Failed,Hot Wallet,2024-06-20 09:51:58.222424
342753,92785,Ethereum,Withdraw,75.101836,47641.17,3577939.34,174897.55,FTX,Failed,Exchange Wallet,2023-07-09 09:51:58.222424
736055,43448,Bitcoin,Buy,47.096069,42153.93,1985284.4,36965.93,KuCoin,Completed,Ledger,2024-05-28 09:51:58.222424
112212,10413,Dogecoin,Stake,9.951269,56755.7,564791.24,4467.14,Binance,Completed,Cold Wallet,2025-01-01 09:51:58.222424
792267,41524,XRP,Transfer,36.57424,5237.98,191575.14,7741.28,Binance,Pending,Hot Wallet,2024-07-24 09:51:58.222424
739089,86023,Ethereum,Transfer,49.573607,45178.36,2239654.26,34429.79,Huobi,Pending,Trezor,2023-11-11 09:51:58.222424
544969,78326,Ethereum,Sell,53.072716,284.39,15093.35,56.19,Huobi,Completed,Hot Wallet,2024-06-06 09:51:58.222424
157705,33626,Dogecoin,Withdraw,94.797737,26243.32,2487807.35,97249.56,KuCoin,Pending,Ledger,2023-08-01 09:51:58.222424
648314,65533,Litecoin,Transfer,26.658505,36871.88,982949.2,1404.71,Binance,Pending,Exchange Wallet,2024-03-31 09:51:58.222424
304578,63405,Cardano,Withdraw,52.431065,17611.68,923399.14,27146.2,OKX,Completed,Cold Wallet,2024-02-03 09:51:58.222424
566120,96516,Bitcoin,Stake,36.842981,33416.37,1231158.68,6306.7,KuCoin,Completed,Hot Wallet,2023-06-13 09:51:58.222424
230011,96900,Ethereum,Buy,76.567893,4407.95,337507.44,14983.19,FTX,Completed,Hot Wallet,2024-11-19 09:51:58.222424
899972,43712,Ethereum,Buy,48.261885,48858.17,2357987.38,107441.53,Binance,Pending,Cold Wallet,2023-04-21 09:51:58.222424
903416,78992,Solana,Sell,13.088631,14021.32,183519.88,2981.78,Kraken,Pending,Trezor,2025-01-29 09:51:58.222424
513074,70071,XRP,Withdraw,36.559146,18796.63,687188.74,23449.94,Kraken,Pending,Exchange Wallet,2023-07-14 09:51:58.222424
